Selection Year,JO Type,Job Network,Entity,Gender,Nationality,Region,Job Family,Level,Posting Year,JO Number,Applicant Number,JO Selection,Candidate Rostered?,Entity Type,SelectionMonth,PostingMonth,Job Code,Job_Family,Recruitment Timeline (Days)
2022,RfR,MAGNET,UN-SPM-4,Male,Niger,Africa,Finance,P-3,2022,533679,306765,Roster,Yes,Special Political Mission,2022-04-01,2022-03-01,UNS:3349,FIN,27
2017,PSJO,MAGNET,UN-OAH-2,Female,France,Western Europe and Others,Human Resources,P-5,2017,230787,306933,Non-roster,No,OAH,2017-11-01,2017-03-01,UNS:6190,HRE,220
2019,PSJO,ITECNET,UN-OAH-2,Male,Romania,Eastern European,Information Management Systems and Technology,P-4,2018,298032,307017,Non-roster,No,OAH,2019-01-01,2018-07-01,UNS:4086,IST,183
2017,PSJO,DEVNET,UN-DEPT-3,Male,Germany,Western Europe and Others,Programme Management,P-5,2016,192216,307092,Non-roster,No,Department,2017-08-01,2016-08-01,UNS:6291,PGM,366
2021,PSJO,INFONET,UN-OAH-2,Male,Russian Federation,Eastern European,Language,P-4,2020,390240,307095,Non-roster,No,OAH,2021-03-01,2020-01-01,UNS:8062,LAN,434
2018,PSJO,ITECNET,UN-OAH-2,Male,France,Western Europe and Others,Information Management Systems and Technology,P-4,2016,211503,307137,Non-roster,No,OAH,2018-01-01,2016-12-01,UNS:2109,IST,411
2018,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Statistics,P-4,2017,269244,307383,Roster,Yes,Department,2018-01-01,2017-12-01,UNS:6540,STT,25
2019,PSJO,POLNET,UN-OFFICE-5,Female,United States of America,Western Europe and Others,Political Affairs,P-5,2019,346431,307419,Non-roster,No,Office,2019-07-01,2019-04-01,UNS:6285,POL,83
2021,PSJO,DEVNET,UN-DEPT-3,Female,Japan,Asia-Pacific,Social Affairs,P-5,2021,456255,307485,Non-roster,No,Department,2021-10-01,2021-04-01,UNS:6332,SOC,182
2021,PSJO,INFONET,UN-OAH-2,Male,France,Western Europe and Others,Language,P-5,2020,390768,307584,Non-roster,No,OAH,2021-04-01,2020-02-01,UNS:8701,LAN,448
2017,PSJO,INFONET,UN-OAH-2,Male,France,Western Europe and Others,Language,P-4,2017,254178,307584,Roster,Yes,OAH,2017-09-01,2017-08-01,UNS:8633,LAN,14
2018,PSJO,POLNET,UN-OFFICE-5,Female,Italy,Western Europe and Others,Political Affairs,P-5,2018,309765,307812,Roster,Yes,Office,2018-09-01,2018-09-01,UNS:6285,POL,14
2021,PSJO,DEVNET,UN-SPM-4,Female,Guinea,Africa,Programme Management,P-5,2021,456837,308037,Non-roster,No,Special Political Mission,2021-12-01,2021-03-01,UNS:6291,PGM,258
2018,PSJO,DEVNET,UN-DEPT-3,Female,Kenya,Africa,Sustainable Development,P-4,2016,177984,308082,Non-roster,No,Department,2018-12-01,2016-07-01,UNS:6658,SUS,893
2018,PSJO,DEVNET,UN-DEPT-3,Male,Singapore,Asia-Pacific,Public Administration,P-5,2017,239802,308163,Non-roster,No,Department,2018-02-01,2017-06-01,UNS:6183,PBA,252
2022,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Statistics,P-3,2022,539478,308172,Roster,Yes,Department,2022-05-01,2022-05-01,UNS:6539,STT,7
2018,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Statistics,P-3,2017,217482,308172,Non-roster,Yes,Department,2018-04-01,2017-01-01,UNS:6539,STT,448
2018,PSJO,DEVNET,UN-DEPT-3,Male,Australia,Western Europe and Others,Economic Affairs,P-4,2017,262089,308190,Roster,Yes,Department,2018-05-01,2017-10-01,UNS:7284,ECO,216
2017,PSJO,INFONET,UN-OAH-2,Male,China,Asia-Pacific,Conference Services,P-3,2016,190275,308220,Non-roster,No,OAH,2017-03-01,2016-07-01,UNS:5568,CON,237
2022,PSJO,MAGNET,UN-OAH-2,Male,United States of America,Western Europe and Others,Administration,P-4,2022,527901,308304,Non-roster,No,OAH,2022-08-01,2022-03-01,UNS:1103,ADM,153
2022,PSJO,POLNET,UN-OFFICE-5,Female,Italy,Western Europe and Others,Political Affairs,P-5,2022,524268,308367,Non-roster,No,Office,2022-07-01,2022-03-01,UNS:6285,POL,141
2021,PSJO,DEVNET,UN-DEPT-3,Male,Switzerland,Western Europe and Others,Population Affairs,P-4,2018,307626,308442,Non-roster,No,Department,2021-12-01,2018-09-01,UNS:5127,POP,"1,176"
2021,PSJO,INFONET,UN-OAH-2,Female,Russian Federation,Eastern European,Language,P-4,2021,468300,308556,Roster,Yes,OAH,2021-07-01,2021-05-01,UNS:7548,LAN,52
2020,RfR,MAGNET,UN-PKO-1,Male,Cote D'Ivoire,Africa,Administration,P-3,2020,403125,308592,Roster,Yes,Peacekeeping Mission,2020-05-01,2020-03-01,UNS:2506,ADM,43
2019,PSJO,INFONET,UN-OAH-2,Female,United States of America,Western Europe and Others,Language,P-4,2019,359709,308844,Roster,Yes,OAH,2019-09-01,2019-07-01,UNS:8057,LAN,59
2022,PSJO,MAGNET,UN-PKO-1,Female,United States of America,Western Europe and Others,Finance,P-4,2021,514614,308868,Non-roster,No,Peacekeeping Mission,2022-07-01,2021-12-01,UNS:3350,FIN,203
2021,PSJO,INFONET,UN-OAH-2,Female,Switzerland,Western Europe and Others,Language,P-5,2020,391935,309165,Roster,Yes,OAH,2021-04-01,2020-02-01,UNS:8699,LAN,448
2017,RfR,INFONET,UN-PKO-1,Male,Benin,Africa,Public Information,P-3,2017,217083,309210,Roster,Yes,Peacekeeping Mission,2017-04-01,2017-01-01,UNS:5560,PUB,102
2022,PSJO,MAGNET,UN-OAH-2,Male,Myanmar,Asia-Pacific,Human Resources,P-4,2022,541854,309507,Non-roster,No,OAH,2022-08-01,2022-05-01,UNS:3822,HRE,88
2018,PSJO,MAGNET,UN-OAH-2,Male,Myanmar,Asia-Pacific,Administration,P-3,2018,271338,309507,Roster,Yes,OAH,2018-01-01,2018-01-01,UNS:1102,ADM,21
2017,PSJO,ITECNET,UN-OAH-2,Female,Spain,Western Europe and Others,Information Management Systems and Technology,P-4,2016,215910,309519,Non-roster,No,OAH,2017-11-01,2016-12-01,UNS:3983,IST,327
2019,PSJO,POLNET,UN-OAH-2,Male,France,Western Europe and Others,Political Affairs,P-5,2019,327957,309627,Roster,Yes,OAH,2019-04-01,2019-01-01,UNS:7617,POL,81
2021,PSJO,INFONET,UN-OAH-2,Male,Canada,Western Europe and Others,Language,P-4,2021,456336,310041,Non-roster,No,OAH,2021-08-01,2021-04-01,UNS:8228,LAN,116
2022,PSJO,INFONET,UN-OAH-2,Female,China,Asia-Pacific,Language,P-4,2021,511578,310074,Non-roster,No,OAH,2022-04-01,2021-12-01,UNS:8055,LAN,106
2022,PSJO,DEVNET,UN-DEPT-3,Female,Italy,Western Europe and Others,Economic Affairs,P-5,2021,478983,310137,Non-roster,No,Department,2022-04-01,2021-09-01,UNS:7333,ECO,222
